id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,81.5,80.40000000000001,82.60000000000001,
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,110.7,114.8,106.7,.8
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,96.2,97.5,94.90000000000001,
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,70.60000000000001,67.10000000000001,74,
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,136.5,142,131.6,1.9
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,115,119.6,110.7,
3_14_279_0,2011,Urban,3,India,14,Manipur,279,Ukhrul,,,,
3_14_280_0,2011,Rural,3,India,14,Manipur,280,Chandel,103.8,106.3,101.5,1.1
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,102.9,104.6,101.3,
3_14_280_0,2011,Urban,3,India,14,Manipur,280,Chandel,97.2,94.5,100,
3_15_281_0,2011,Rural,3,India,15,Mizoram,281,Mamit,184.2,182,186.3,0
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,165.4,164.6,166.1,
3_15_281_0,2011,Urban,3,India,15,Mizoram,281,Mamit,63,67.3,59.3,
3_15_282_0,2011,Rural,3,India,15,Mizoram,282,Kolasib,253.2,252.2,254.2,.6000000000000001
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,163.6,163.3,163.9,
3_15_282_0,2011,Urban,3,India,15,Mizoram,282,Kolasib,83.7,84.40000000000001,83.10000000000001,
3_15_283_0,2011,Rural,3,India,15,Mizoram,283,Aizawl,167.4,166,168.7,.1
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,128.7,126.6,130.7,
3_15_283_0,2011,Urban,3,India,15,Mizoram,283,Aizawl,116.1,114.1,118.1,
3_15_284_0,2011,Rural,3,India,15,Mizoram,284,Champhai,138.4,136,140.8,.1
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,123,121.2,124.7,
3_15_284_0,2011,Urban,3,India,15,Mizoram,284,Champhai,95.80000000000001,94.2,97.2,
3_15_285_0,2011,Rural,3,India,15,Mizoram,285,Serchhip,135.7,134.7,136.6,.4
